% Model,TE and H2_array.mph
% Version,COMSOL 5.6.0.280
% Date,"Dec 2 2022, 14:38"
% Dimension,3
% Nodes,20933
% Expressions,2
% Description,"Temperature, Temperature"
% Length unit,mm
% x,y,z,T (K),T2 (K)
0.702621561021953,0,-1.7000000000000004,311.2411369199103,293.14023031398773
0.9431040687428055,0,-2,311.28867770523874,293.1402303007776
0,0,-2,311.3061926304461,293.14023032273866
0.6400406718119361,0.4757571091571653,-2,311.2884106559703,293.1402303157889
2.297378438978039,0,-1.7000000000000002,311.2343303527601,293.14023031172064
2.056895931257194,0,-2.0000000000000004,311.2880234632003,293.1402302992497
2.3531007289134926,0.7486880516231622,-2,311.2843450636071,293.14023031625214
3,0,-2,311.3026951445044,293.1402303219824
2.2973784389780487,1.5,-1.7000000000000002,311.2388864789769,293.1402303128062
2.056895931257195,1.5,-2.0000000000000004,311.29044189766415,293.1402303001975
3,1.5,-2,311.3097728883819,293.14023032238697
0.30000000000000004,0.15000000000000002,-1.7000000000000002,311.23902193206635,293.1402303245024
0,0,-1.7000000000000002,311.2719771398358,293.140230323065
0,0.7500000000000052,-1.7000000000000002,311.27404931647317,293.1402303255026
0,0.7499999999999999,-2,311.31369918408524,293.1402303248223
0.30000000000000004,0.7500000000000002,-1.7000000000000002,311.23041568664115,293.14023032956453
1.01739305241855,0.15000000000000002,-1.7000000000000002,311.22963664830326,293.14023029460884
1.4667683415190533,0.6697933052309785,-2,311.2842933227067,293.14023027986957
1.499999999999994,0,-1.7,311.2402016860886,293.1402302774272
0.30000000000000004,1.35,-1.7000000000000002,311.2406644989659,293.1402303245844
0,1.5,-1.7000000000000002,311.2704270148882,293.14023032304505
0.702621561021956,1.4999999999999998,-1.6999999999999997,311.2444793221917,293.14023031341236
0,1.5,-2,311.3097445794435,293.1402303227907
0.9431040687428055,1.5000000000000002,-2,311.2910368571184,293.14023030030245
0.8585767593191589,0.9421683749833464,-1.7000000000000002,311.22555610064086,293.1402303056769
1.0173930524185493,1.3499999999999999,-1.7,311.2286126274241,293.14023029357827
1.5000000000000024,1.5,-1.7000000000000002,311.24276784673185,293.14023027824766
2.7,0.15000000000000002,-1.7000000000000002,311.23427815682425,293.1402303245748
3,0,-1.7000000000000002,311.2681089148587,293.1402303225843
3.000000000000001,0.7499999999999989,-1.7000000000000004,311.2818250144133,293.14023032516747
2.9999999999999996,0.75,-2,311.3187444832765,293.14023032496993
1.9826069475814505,0.15,-1.7,311.22536301119493,293.14023029274125
2.7,0.7499999999999994,-1.7,311.23192771666,293.14023032843176
2.210481845851932,0.7489833167563493,-1.7000000000000006,311.22216682384436,293.14023031342754
1.458087574164736,0.8198027011164535,-1.7000000000000002,311.22670811644815,293.1402302737249
1.9826069475814512,1.35,-1.7,311.2293266106554,293.1402302933174
2.7,1.35,-1.7000000000000002,311.2375367473492,293.1402303248287
3,1.5,-1.7000000000000002,311.26824642277796,293.14023032298235
2.2,0.15000000000000002,0,299.913013500699,293.14193552464366
2.232667667589513,0,0,299.89264086642186,293.14193552458534
2.2403182748619197,0,0.3,299.8493810520336,293.1419355245808
1.7000000000000002,0.15000000000000002,0,299.9255857977106,293.14193552495556
2.3091807495736645,0.6072853681294481,0,299.9149593893359,293.1419355242664
2.3261879141698016,0.544674531855256,0.1350719252201082,299.8892514056791,293.1419355243733
2.6999999999999997,0.7499999999999993,0,299.8958724507243,293.14193552449274
2.2,1.3499999999999999,0,299.91773348884993,293.14193552451746
2.7,0.15000000000000002,0,299.8763428893248,293.1419355246322
3,0,0,299.8168898706818,293.14193552459074
1.7,0.7500000000000001,0,299.93715482258494,293.14193552479816
1.4999999999999998,0,0,299.93511724890925,293.14193552484375
1.3000000000000003,0.15000000000000002,0,299.9690283039392,293.14193552493583
1.5,0,0.3,299.8961088583699,293.14193552479077
0.7673323324104944,0,0,299.97472703745893,293.1419355246332
0.30000000000000004,0.15000000000000002,0,299.9739529598105,293.1419355247216
0.7596817251380716,0,0.3,299.92751114974914,293.1419355246353
0,0,0,299.95514620217034,293.1419355246362
0.7999999999999998,0.15,0,299.9854258296339,293.1419355246606
0,0,0.3,299.90846229331527,293.14193552460523
0,0.7499999999999999,0,299.9426077490431,293.1419355244965
0.30000000000000004,0.7500000000000001,0,299.99321961225263,293.14193552451457
0,0.75,0.3,299.91632847967975,293.14193552449075
0.30000000000000004,1.35,0,299.9793944811376,293.1419355245831
0,1.5,0,299.9642796780727,293.14193552441594
1.3016072109048316,0.5382028554443965,0.3,299.921482740193,293.14193552470255
0.9091807495736645,0.6072853681294488,0,299.99096242780485,293.1419355243956
1.3000000000000003,0.7500000000000001,0,299.9854771250279,293.1419355248143
1.8564774925716003,0.5846550393012032,0.3,299.8799194311205,293.1419355246252
1.7000000000000002,1.35,0,299.9274094296498,293.1419355248259
2.4309419226000024,0.5046279418127616,0.3,299.84090623369406,293.1419355244237
2.2326676675895083,1.5,0,299.9064323572592,293.14193552438616
2.2403182748619197,1.5,0.30000000000000004,299.8654858550489,293.1419355244009
2.674776215827936,1.2166666666666668,0.1,299.8516072001617,293.14193552447847
2.7,1.35,0,299.87618709234295,293.14193552462234
2.9999999999999996,0.75,0,299.80841193961027,293.14193552444794
3,0,0.3,299.73672337726083,293.1419355245389
3,1.5,0,299.82332729812543,293.14193552440287
2.9999999999999996,0.75,0.3,299.72657351905906,293.1419355244674
0.8161721186207856,0.7972295161616225,0.3,299.93925252233936,293.1419355244707
0.8,1.35,0,299.9917964918016,293.14193552455475
1.3000000000000003,1.35,0,299.97313650930624,293.1419355248959
