% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0.3,3.75,-1.7,311.2514385
0.3,3.15,-1.7,311.2545909
0,3.75,-2,311.3303878
0,3.75,-1.7,311.3027224
1.466768342,3.669793305,-2,311.3037664
2.353100729,3.748688052,-2,311.304026
2.7,3.15,-1.7,311.2509189
3,3.75,-1.7,311.3018294
3,3.75,-2,311.3386234
1.982606948,3.15,-1.7,311.2423062
2.7,3.75,-1.7,311.2517371
2.210481846,3.748983317,-1.7,311.2418973
2.7,4.35,-1.7,311.2605866
1.982606948,4.35,-1.7,311.2519544
1.458087574,3.819802701,-1.7,311.2468625
0.3,4.35,-1.7,311.263147
0,4.5,-1.7,311.2956938
0,4.5,-2,311.33531
0.702621561,4.5,-1.7,311.2711456
0.943104069,4.5,-2,311.3174576
0.858576759,3.942168375,-1.7,311.2467088
1.017393052,4.35,-1.7,311.2511612
3,4.5,-2,311.3357567
3,4.5,-1.7,311.2939395
2.056895931,4.5,-2,311.3156261
2.297378439,4.5,-1.7,311.2644425
1.5,4.5,-1.7,311.268842
0.3,3.15,0,300.0102741
0.8,3.15,0,300.0240625
0.3,3.75,0,300.0356358
1.3,3.15,0,300.0062377
0.90918075,3.607285368,0,300.0330317
1.7,3.15,0,299.9601978
2.2,3.15,0,299.9491363
2.7,3.15,0,299.9114225
1.866483809,3.686410813,0.3,299.9216088
1.7,3.75,0,299.9790196
2.30918075,3.607285368,0,299.9547683
2.2,4.35,0,299.9659593
1.7,4.35,0,299.9756833
2.444264548,3.504479795,0.3,299.8872901
2.7,3.75,0,299.9367632
1.3,3.75,0,300.0291094
1.367892559,3.62158072,0.3,299.9612236
1.3,4.35,0,300.0202369
0.920782956,3.894292459,0.3,299.9831435
0.8,4.35,0,300.0386661
0,3.75,0,299.9878483
0,3.75,0.3,299.9631634
0.3,4.35,0,300.0274497
0,4.5,0,300.015312
2.232667668,4.5,0,299.9557051
2.240318275,4.5,0.3,299.9149428
2.7,4.35,0,299.9241571
3,4.5,0,299.8730484
1.5,4.5,0,299.994654
1.5,4.5,0.3,299.9559891
0.767332332,4.5,0,300.0365293
3,3.75,0.3,299.7749408
3,3.75,0,299.8450985
3,4.5,0.3,299.7777293
0.759681725,4.5,0.3,299.9890685
0,4.5,0.3,299.9684805
0.640040672,4.975757109,-2,311.3244618
0.3,4.65,-1.7,311.2732156
0.3,5.25,-1.7,311.2688942
0,5.25,-2,311.3495199
0,5.25,-1.7,311.3158395
0.3,5.85,-1.7,311.2840566
0,6,-1.7,311.3171616
0,6,-2,311.3571295
0.702621561,6,-1.7,311.2927688
1.017393052,4.65,-1.7,311.2640948
0.858576759,5.442168375,-1.7,311.2653417
2.353100729,5.248688052,-2,311.322929
1.466768342,5.169793305,-2,311.322313
0.943104069,6,-2,311.3398135
2.297378439,6,-1.7,311.2856547
2.056895931,6,-2,311.3359741
3,6,-2,311.3558221
2.7,4.65,-1.7,311.2681086
3,5.25,-2,311.3597761
3,5.25,-1.7,311.3169556
1.982606948,4.65,-1.7,311.2598547
2.7,5.25,-1.7,311.2704998
1.017393052,5.85,-1.7,311.2709601
1.5,6,-1.7,311.2901606
2.210481846,5.248983317,-1.7,311.2608162
1.458087574,5.319802701,-1.7,311.2656845
2.7,5.85,-1.7,311.2806334
3,6,-1.7,311.3204901
1.982606948,5.85,-1.7,311.2719803
1.7026842,5.631415495,0.120228024,299.9989311
1.7,5.85,0,300.0112745
1.3,5.25,0,300.0636948
1.3,5.85,0,300.0576433
1.7,5.25,0,300.0148366
2.2,5.85,0,300.0029959
2.7,4.65,0,299.9464911
2.2,4.65,0,299.9837195
1.7,4.65,0,299.9939988
1.3,4.65,0,300.0388325
1.367892559,5.12158072,0.3,299.9946796
0.90918075,5.107285368,0,300.0667859
1.866483809,5.186410813,0.3,299.9554519
2.30918075,5.107285368,0,299.9900797
2.444264548,5.004479795,0.3,299.9230455
2.7,5.25,0,299.9721949
0.8,4.65,0,300.0564014
0.3,5.25,0,300.0692391
0.3,4.65,0,300.0417754
0.3,5.85,0,300.0636752
0.767332332,6,0,300.0760865
0,6,0,300.0557981
0.759681725,6,0.3,300.0287958
